PATHWAY SORTORDER,BIOCHEMICAL,SUPER PATHWAY,SUB PATHWAY,COMP ID,PLATFORM,CHEMICAL ID,RI,MASS,PUBCHEM,CAS,KEGG,                                      Group HMDB,CB41,CB42,CB43,CB56,CB58,CB59,CB61,CB62,CB63,CB46,CB47,CB48,CB49,CB50,CB51,CB52,CB53,CB54
5127,3-hydroxycinnamate sulfate,Xenobiotics,Food Component/Plant,48409,LC/MS Neg,100006094,1338,242.9969,6443141,86321-30-4,,,99480,151237,139276,,,,115621,142867,164055,111419,385639,238476,107460.99,221871,71218,266481,757150,
1982,3-hydroxydecanoate,Lipid,"Fatty Acid, Monohydroxy",22053,LC/MS Neg,100000997,4634.7,187.134,26612,5561-87-5,,HMDB0002203,293084,372741,390885,685292,730056,924451,1526619,1645076,1682658,742638,851805,938898,1188656,1068242,2413697,602848,1259409,3311977
1927,3-hydroxydecanoylcarnitine,Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Hydroxy)",63358,LC/MS Pos Late,100021141,961,332.2432,121454166,,,HMDB0061636,74579,54917,137265,128039,111266,151177,234144,333412,242770,132309,116644,133123,189738,164117,427986,93533.01,221170,431858
1687,3-hydroxydodecanedioate*,Lipid,"Fatty Acid, Dicarboxylate",62915,LC/MS Neg,100001454,2252,245.1394,16663321,34574-69-1,,HMDB0000413,541794,312724,444605.97,231342,277559,315976,390062,524596,367091,237633.98,584304,408734,440934,356347,623309,300610,495269,882175
1979,3-hydroxyhexanoate,Lipid,"Fatty Acid, Monohydroxy",53230,LC/MS Neg,100006367,1725,131.0714,151492,10191-24-9,,"HMDB0061652,HMDB0010718",714895,362692,451766,674400,966229,1006327,1206303,1046460,1186011,912920,1051870,1013134,1462352,1181962,2103713,1305392,1582985,3017601
1921,3-hydroxyhexanoylcarnitine (1),Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Hydroxy)",62557,LC/MS Pos Early,100020825,2918,276.1806,,,,,302098,196670.98,278966,312405,208932,236573,274051,454862,337348,250902,264882,233547,297161,292380,444444,348364,330495,515918
4789,3-hydroxyindolin-2-one,Xenobiotics,Food Component/Plant,42561,LC/MS Pos Early,100003823,2035,132.0444,6097,61-71-2,C11130,,675714,314615,717934,293757,490136,443888,720054,431527,357099,507505,766794,492192,433067,561480,1276298,566125,650364,661433
428,3-hydroxyisobutyrate,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",1549,LC/MS Polar,111,1619,103.0401,11966314,2068-83-9,"C01188,C06001","HMDB0000023,HMDB0000336",13805342,12962232,13246458,11516624,10709079,10866857,19357084,14026024,15719007,9045727,12179400,17262616,11727191,22351444,20366020,12957150,19566208,24358312
277,3-hydroxykynurenine,Amino Acid,Tryptophan Metabolism,22110,LC/MS Pos Early,100000986,2536,225.087,89,2147-61-7,C02794,HMDB0000732,,48859,,,143105,,244842,115739,310990,214252,104131,53221,233050,158013,61486,,74832,221457
1985,3-hydroxylaurate,Lipid,"Fatty Acid, Monohydroxy",32457,LC/MS Neg,100001112,5175,215.1653,94216,53941-38-1,,HMDB0000387,202850.02,398875,367045,854920,553216,1191074,1877771.88,2200778,1825376,800874,997610,1071920,1401728,1168996,4140547,489581,1270523,5245450.5
1986,3-hydroxymyristate,Lipid,"Fatty Acid, Monohydroxy",21158,LC/MS Neg,100000882,5335,243.1966,16064,3422-31-9,,,596454,564804,606893,1640725,814240,1048421,999321,2841173,1656655,862954,925672.06,1558233.88,1361883,1559548,4426986,779796,1736014,4389294
1980,3-hydroxyoctanoate,Lipid,"Fatty Acid, Monohydroxy",22001,LC/MS Neg,100000773,3446,159.1027,26613,88930-08-9,C20793,HMDB0001954,322265,217142,272338,536966,629016,850721,1104419,1072665,1168509,683046,674634,825615,1181597,942492,2015011.13,588436,1200040,2730845
1924,3-hydroxyoctanoylcarnitine (1),Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Hydroxy)",64393,LC/MS Pos Early,100021990,3445,304.2119,,,,,,,,93876,126873,126758,174141,273880,199606,91016,86962,135914,149931,127184,280742,94648,126977,382473
1925,3-hydroxyoctanoylcarnitine (2),Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Hydroxy)",64394,LC/MS Pos Early,100021991,3497,304.2119,,,,,,,,,,,63601,,92076,,,,114952,,125703,62587,,151159
1818,3-hydroxyoctanoylglycine,Lipid,Fatty Acid Metabolism (Acyl Glycine),64388,LC/MS Neg,100020633,3471,216.1241,,,,,238177,249589,34436,319025,71851,203649,277064,331190,172336,162958,379214,239879,408982,285982,579329,1532975,468066,430925
1929,3-hydroxyoleoylcarnitine,Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Hydroxy)",61840,LC/MS Pos Late,100019801,1406,442.3527,129637446,,,,59695,78552,69237,169499,140447,206899,316741,358724,357800,145635,136783,254838,399626,255205,557875,312723,442120,1126432
6218,3-hydroxypyridine sulfate,Xenobiotics,Chemical,48448,LC/MS Neg,100006098,1595.5,173.9867,,1955-23-3,,,16753869,18997852,12212064,13864297,16307264,9490502,7765037,4232415,4858678,5403938,5607845,5268865,6276811,6069036,8381884.5,10733467,9907014,8341445
1984,3-hydroxysebacate,Lipid,"Fatty Acid, Monohydroxy",31943,LC/MS Neg,100001145,1282,217.1081,3017884,73141-46-5,,HMDB0000350,376703,326312.03,261899,257557,210412,169777,380995,329091,292148,190363,435333.03,294435,272717,213655.98,480552,486926,298032,582607
5211,3-indoleglyoxylic acid,Xenobiotics,Food Component/Plant,63583,LC/MS Neg,100020372,2140,188.0353,73863,1477-49-2,,,888907.94,1183304,843828,1282470.13,1750007,827006,1983534,1650478.88,1298619,1096214,702803,922296,1131872,1218873,646264.06,1200742,1394388,1626349
322,3-indoxyl sulfate,Amino Acid,Tryptophan Metabolism,27672,LC/MS Neg,100000467,2222.2,212.0023,10258,2642-37-7,,HMDB0000682,116377712,96587720,107443248,116274512,142681776,82076064,179446976,97208856,106274424,135052448,160536640,167059808,120165184,163633728,106937848,137445872,225966176,103353712
4538,3-methoxycatechol sulfate (1),Xenobiotics,Benzoate Metabolism,48763,LC/MS Neg,100006375,2163,218.9969,129892430,,,,125919,99995,107815,168469,280078,58957,466946,175416,200915,77668,165840,126184,66452,113964,30168,104595,156688,311211
4539,3-methoxycatechol sulfate (2),Xenobiotics,Benzoate Metabolism,48752,LC/MS Neg,100006376,2200,218.9969,,,,,637205,552006,460359,564778,767675,289306,914452,364288,344031,439311,616412,337981,212252,256226,365638,701041,486518.97,490191.97
204,3-methoxytyrosine,Amino Acid,Tyrosine Metabolism,12017,LC/MS Pos Early,1342,2555,212.0917,9307,300-48-1,,HMDB0001434,494446,441756,663642,639543,665214,645848,635260,774770,640034.06,495072.03,494668.97,537138,460409,565934,453757,593891,862423.94,383630
4499,3-methyl catechol sulfate (1),Xenobiotics,Benzoate Metabolism,46165,LC/MS Neg,100004112,2790,203.002,118431379,,,,516424.97,650440,726887,603567,679669,487237,252322,166774,217748,297816,422293,426175,236697,372362,657841,602711,564381,531468
4500,3-methyl catechol sulfate (2),Xenobiotics,Benzoate Metabolism,46164,LC/MS Neg,100004110,2860,203.002,,,,,90551.99,99361,103294,89591,94382.01,59317,,,,,57648,34799,22263,59617,78229,110353.01,126878,80001
423,3-methyl-2-oxobutyrate,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",44526,LC/MS Neg,100000936,1465,115.0401,49,3715-29-5,C00141,HMDB0000019,1923624,1288705,10187758,11699121,11808433,9717138,20775162,18148506,23491056,14884556,7896831.5,13823787,15668907,14626206,21771262,1962483,13140645,21164036
394,3-methyl-2-oxovalerate,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",15676,LC/MS Neg,100000036,2064.2,129.0557,440877;439286,1460-34-0;51829-07-3,"C00671,C06008,C03465",HMDB0000491,7576217,3527327,20486508,20142288,22170136,17364708,41640376,27687008,39869700,25429612,19710684,26130832,28074376,27669664,47262016,5468051,24066372,34549652
361,3-methylcrotonylglycine,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",31940,LC/MS Pos Early,100001149,1980,158.0812,169485,33008-07-0,C20828,HMDB0000459,1140916,1453176,572686,639309,783206,485360.97,1437435,1109292,1380151,586912,2240127,752520,813172.06,586737,618961,2954422,1286950,486455
367,3-methylglutaconate,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",57747,LC/MS Polar,100002458,2700,99.0452,1551553,5746-90-7,,HMDB0000522,57914,71192,44197,74466,117869,53466,190856,130367,218032,121811.99,62047,80919,94329,85890,45013,147293,97648.99,213818
72,3-methylhistidine,Amino Acid,Histidine Metabolism,15677,LC/MS Neg,100000042,906.3,168.0779,64969,368-16-1,C01152,HMDB0000479,3255456,4748347,3892579,4231207,3436455,3058684,3197811,2405368,3384201,2611152,3604734.75,3625884,3493396,4277510,2447909,2682383,2195382,1732776
4571,3-phenylpropionate (hydrocinnamate),Xenobiotics,Benzoate Metabolism,15749,LC/MS Neg,100000010,2860,149.0608,107,501-52-0,C05629,HMDB0000764,22391108,10129731,31697284,21145320,43778348,32003904,42852768,27850112,52260128,36417408,35452452,22280028,24970120,27814602,50830236,17773702,41789256,56701852
1237,3-phosphoglycerate,Carbohydrate,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",1414,LC/MS Pos Early,132,590,187.0002,724,80731-10-8,C00597,HMDB0000807,1247722,1185462,1051318,681113,1316438.88,950228.94,1396861,2652815,2842134,1389839,748972,1431827,1159386,702543,1823729,1755716.13,1008433,1378975
4235,3-ureidoisobutyrate,Nucleotide,"Pyrimidine Metabolism, Uracil containing",57549,LC/MS Polar,100001531,1910,145.0619,160663,2905-86-4,C05100,HMDB0002031,78277,88394,,117465,63693,92878,200538,174475,149392,207696,167531,99457,86577,117934,65208,176200,194278,435486
4236,3-ureidopropionate,Nucleotide,"Pyrimidine Metabolism, Uracil containing",3155,LC/MS Polar,1053,2230,131.0462,111,462-88-4,C02642,HMDB0000026,1204960,1372853,399828,777673,1136173,980092.06,2719329,1994706,2033987,2768354,2269798,1590148,1332469,1952595.88,433199,2617305,2122620,3681309
6235,4-acetamidobenzoate,Xenobiotics,Chemical,57585,LC/MS Neg,100009413,1403,178.051,6918889,556-08-1,D03836,,703517,365040,502317,488197,564719,397259,1222714,693785,812882,307261,643957,437255,342512,510772,733441,508390,588736,350627
560,4-acetamidobutanoate,Amino Acid,Polyamine Metabolism,1558,LC/MS Pos Early,1113,1350,146.0812,18189,3025-96-5,C02946,HMDB0003681,2943610,2052812.13,3401484,1450685,3168722,2138597,2982850,2634545,1254650,1802683,2325904,1892706,1648318,1614379,2049435,1829677,2649359,1536119
4514,4-acetylphenyl sulfate,Xenobiotics,Benzoate Metabolism,44620,LC/MS Neg,100000711,2375,215.002,4684006,,,,327197,322987,183768,228899,250464,121008,291102,142430,164399,163288,197097,91615,64029,126919.01,123217.99,283224,175464,144933
4503,4-allylcatechol sulfate,Xenobiotics,Benzoate Metabolism,63597,LC/MS Neg,100020578,3571,229.0176,,,,,679325,334513,399427.97,406424,426978,245377.98,846328.06,326618,554678,291463,358838,264351,226443.02,236669,520497,402071,326701,407973
5085,4-allylphenol sulfate,Xenobiotics,Food Component/Plant,37181,LC/MS Neg,100001868,3805,213.0227,66633409,,,,228043,135719,174345,203691.02,242242,128309.01,254546,144681,221102.98,152750,162258,128122,91126,134914,179044,174683.02,197044,191445
6263,4-chlorobenzoic acid,Xenobiotics,Chemical,63988,LC/MS Neg,100021784,3015,154.9905,6318,74-11-3,C02370,,854763.94,931058,682806,729788,627969,782767,900650,872189,824440,798336.94,751209,845166,730982,762333,790102,772477,728651,698561
3218,4-cholesten-3-one,Lipid,Sterol,38125,LC/MS Pos Late,100002227,2520,385.3465,91477,601-57-0,C00599,HMDB0000921,169032,128827,,75044,91117,,,171310,102268,80230,,120650,,108958,73197,,87258,150313
4501,4-ethylcatechol sulfate,Xenobiotics,Benzoate Metabolism,63072,LC/MS Neg,100020536,3379,217.0176,,,,,6593386,4047154,5382376.5,4793573,5430454,4032230.25,3397812,1630192,2550517,4332965,4873194,3698532,4035704,5438287,5293728,7287059,6882973,3953076
4520,4-ethylphenyl sulfate,Xenobiotics,Benzoate Metabolism,36099,LC/MS Neg,100001756,3580,201.0227,20822574,123-07-9,C13637,HMDB0062551,336710,157128,213082,245422,162697,169107,199153,142338,268163,160650,198296,808369,691941,443518,161220,288206,230637,470116
563,4-guanidinobutanoate,Amino Acid,Guanidino and Acetamido Metabolism,15681,LC/MS Pos Early,100000096,2320,146.0924,500,463-003;463-00-3,C01035,HMDB0003464,13168509,7748158.5,12631683,13344264,15272322,14304608,18854832,12523110,14661954,12327427,5920650,8874581,4331837,7816405.5,4073790,3743364,10783932,6496305
1664,4-hydroxy-2-oxoglutaric acid,Lipid,"Fatty Acid, Dicarboxylate",40062,LC/MS Polar,100002537,3073,161.0092,599,1187-99-1,C01127,HMDB0002070,267819,278027,268056,245179,624203,223978,1550388,1035439.06,1434797,622652,284316,520944,608050,522252.97,179158,394950,435457,915358
1957,4-hydroxybutyrate (GHB),Lipid,"Fatty Acid, Monohydroxy",34585,LC/MS Pos Early,100001507,1148,87.0441,10413,502-85-2,C00989,HMDB0000710,730369,2107093,,681759,601917,507226,998404,723479,479585,394275,780703,406641,555098,,794019,1375777,456186,862259
5178,4-hydroxycinnamate,Xenobiotics,Food Component/Plant,36770,LC/MS Neg,100001675,1457,163.0401,637542,501-98-4,C00811,HMDB0002035,965632.94,853517,1138284,775657.06,897475,434508,653328,674876,431722,631288,712118,364233,281575,375949.03,340108,225636,775998,289483
230,4-hydroxycinnamate sulfate,Amino Acid,Tyrosine Metabolism,48410,LC/MS Neg,100006095,1000,242.9969,6070438,376374-66-2,,,1081218,1586220,497870.03,492691,404775,171752,467589.03,420413.97,336454,205661.02,518091.03,85927,108116,129445.99,62222,620617,406700,
51,4-hydroxyglutamate,Amino Acid,Glutamate Metabolism,40499,LC/MS Pos Early,100002544,1141,164.0554,439902,2485-33-8,C03079,HMDB0001344,152388,162160,50167,,65316,48178,175926,142294,101515,43902,100371,36907,,55241,,140778,59353,61606
4467,4-hydroxyhippurate,Xenobiotics,Benzoate Metabolism,35527,LC/MS Neg,100001423,1475,194.0459,151012,2482-25-9,,HMDB0013678,396282,1003119.94,148417,447193,204620,139692,451504.97,349943,191853,125504.99,184353,157944,115054.01,87835,64837,722046,236789,41279
159,4-hydroxyphenylacetate,Amino Acid,Phenylalanine Metabolism,541,LC/MS Neg,144,1361,151.0401,127,156-38-7,C00642,HMDB0000020,182343,230264,415581.97,189100,208289.98,111527,238229,304756,187902,347812.97,342164,499534.97,608094,571798,452780,354616.03,524603,434886
232,4-hydroxyphenylacetate sulfate,Amino Acid,Tyrosine Metabolism,53027,LC/MS Neg,100006633,867,230.9969,,,,,1446454,1775729,1206305,1834742.13,1678665,717426,1420120.88,2244745,1046152,2363493,4565460,3718462,3979229,4891340,2589477,3350199,5958526,3587822
175,4-hydroxyphenylpyruvate,Amino Acid,Tyrosine Metabolism,1669,LC/MS Neg,1141,1690,179.035,979,156-39-8,C01179,HMDB0000707,16671844,48052664,8089226,11680608,12745444,7342578,25246000,7503789.5,10308984,7274406,13983327,9477677,9323561,9438101,7534141,62156232,13715967,17657972
97,4-imidazoleacetate,Amino Acid,Histidine Metabolism,32349,LC/MS Pos Early,100001207,2055,127.0502,96215,645-65-8,C02835,HMDB0002024,,,116060.01,232812,659160,245463,460644,797930,448264,426970,,,1034948,332907,212161,,303568,398559
193,4-methoxyphenol sulfate,Amino Acid,Tyrosine Metabolism,48457,LC/MS Neg,100006262,2412,203.002,,3233-60-1,,,388083,248725,316610,335218,422572,183120,515001.03,241677,262871,227695,263238,192878,98724,170206,218940,334354,302624,223630
343,4-methyl-2-oxopentanoate,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",22116,LC/MS Neg,100000551,2170,129.0557,70,816-66-0,C00233,HMDB0000695,5675121,5572725,18516762,18474712,20341900,15885676,34456520,25962046,36598020,22709734,13932751,21023272,21894470,19855526,41542632,6951946,20601820,25241858
4502,4-methylcatechol sulfate,Xenobiotics,Benzoate Metabolism,46146,LC/MS Neg,100004111,2665,203.002,54104170,,,HMDB0240459,6123887,1075883,2955894,2521902,1442890,1332706,2475708,2523938,3540324.75,1180911,1680481,1734032,1592119,1948548,2662566.25,3158238,3790476,3105282
1809,4-methylhexanoylglycine,Lipid,Fatty Acid Metabolism (Acyl Glycine),62736,LC/MS Neg,100020632,3550,186.1136,,,,,673924,685661,208884,594597,344526,497958.03,868718,968079,752451,700928,1678554,941616,1078604,1477741,1132106,7614058,1583311,950738
4527,4-vinylcatechol sulfate,Xenobiotics,Benzoate Metabolism,64579,LC/MS Neg,100021208,3060,215.002,,,,,1752120,784349,1061969,809668,1359572,801872,2031785,971771,1330582,782072,1008888,1082263,284447,633395,244519,1154337,1997916,794102
5113,4-vinylguaiacol sulfate,Xenobiotics,Food Component/Plant,48442,LC/MS Neg,100006126,3354,229.0176,53803570,,,HMDB0127980,367720,769017,304954,329664,264949,64888,259986,108725,190156,94013.01,276256,67182,30298,52338,48383,213739,83018,33455
4522,4-vinylphenol sulfate,Xenobiotics,Benzoate Metabolism,36098,LC/MS Neg,100001755,3320,199.0071,6426766,2628-17-3,C05627,HMDB0062775,8370297,10912372,8917559,7138096,7460230,4289434,7655078.5,4633256,7383788,6223402,6679982,5252712,2391482,3815369,3003424,6286471,7152579.5,2612962
4278,"5,6-dihydrothymine",Nucleotide,"Pyrimidine Metabolism, Thymine containing",1418,LC/MS Pos Early,158,1280,129.0659,93556,696-04-8,C00906,HMDB0000079,544957,559878,1236636,1153509,1294829,2061515.13,2219115,3341398,2011517.13,1638034,1913098,1795247,2454093,1955618,2124420,761674,2726225,4801254
4229,"5,6-dihydrouracil",Nucleotide,"Pyrimidine Metabolism, Uracil containing",1559,LC/MS Neg,1125,1120,113.0357,649,504-07-4,C00429,HMDB0000076,593107,360949,951603.94,1114661,1118133,1722331,1948199,1546969.88,1004557.06,1604291,2104397,1550511,1422598,1681638,1447712,592511,2053608,3475890.75
4220,"5,6-dihydrouridine",Nucleotide,"Pyrimidine Metabolism, Uracil containing",61833,LC/MS Neg,100001425,1119,245.0779,94312,04/05/5627,,HMDB0000497,4000577,4740303,3626485.75,6312215,5326442,4866818,5655380,5592741,6752118.5,6456259.5,6822400.5,7137446,6515828,7047072,4568653,7492768,6209487,7382530
1882,5-dodecenoylcarnitine (C12:1),Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Monounsaturated)",61769,LC/MS Pos Late,100016069,1135,342.2639,91825571,,,HMDB13326,123339.01,81182,,278104,259559,337689,314398,494688,309120,279726,232370,153196,157492,155303,690231.06,429574,426578,1161358
1995,5-hydroxyhexanoate,Lipid,"Fatty Acid, Monohydroxy",31938,LC/MS Neg,100001148,1267,131.0714,170748,44843-89-2,,"HMDB0000525,HMDB0000409",572900,388333,489127.97,532297,559327,404194.97,953662.06,812998,879067,469259,619872,525265,642813,623428.06,1191637,740063,762615.94,1405747
290,5-hydroxyindoleacetate,Amino Acid,Tryptophan Metabolism,437,LC/MS Pos Early,71,1893,192.0655,1826,54-16-0,C05635,HMDB0000763,150710,,106848,95506,431823,119733,407230,294053,201224.98,142720,173065,99189,173228,162480,132989,136827,394093.03,218115
119,5-hydroxylysine,Amino Acid,Lysine Metabolism,15685,LC/MS Pos Early,100000054,2790,163.1077,3032849,13204-98-3,C16741,HMDB0000450,532015,685435,570028,1054784,1499014,657576,1875024,1492657.88,2230324,1392550,640110,1726309,1372411,979018,804557.06,2185182,1724563.88,1945833
4263,5-methyl-2'-deoxycytidine,Nucleotide,"Pyrimidine Metabolism, Cytidine containing",38159,LC/MS Pos Early,100002300,2303,242.1135,440055,838-07-3,C03592,HMDB0002224,145911,568335,257781.02,920242,779552,973389,1211010,1124991,791710,743313.94,538476,490865.97,455348,599679,1046239,689639,1651295,724762
4253,5-methylcytidine,Nucleotide,"Pyrimidine Metabolism, Cytidine containing",22119,LC/MS Neg,100000763,1608,256.0939,92918,2140-61-6,,HMDB0000982,60669,55021,69401,102964,107750.01,100504,125346,146631,137965,121914,91312,123420.01,112612,98706,107574,84712,141438,123713
556,5-methylthioadenosine (MTA),Amino Acid,Polyamine Metabolism,1419,LC/MS Pos Early,212,2752,298.0968,439176,2457-80-9,C00170,HMDB0001173,2319892,1925587,2093341.88,1616636,2247881,1219727,2860006,4993194,3875742,2797408,1535459,1946482,1339103,1506599,1096868,2569427,2086199,2344139
4222,5-methyluridine (ribothymidine),Nucleotide,"Pyrimidine Metabolism, Uracil containing",35136,LC/MS Neg,100001446,1778.1,257.0779,445408,1463-10-1,,HMDB0000884,209527,206224,197900,396155,309635,299222,406861.03,453740,279853,365238,273790,346009,280899,334255,337819,300013,399974,251218
579,5-oxoproline,Amino Acid,Glutathione Metabolism,1494,LC/MS Neg,1021,738.5,128.0353,439685;7405,98-79-3,"C01879,C02237",HMDB0000267,24684628,22834824,24473560,32191558,30799638,27289876,42598700,52280808,34835672,31323418,25388788,30559796,28653304,30344330,30014016,28805746,33494200,40496792
3491,6-beta-hydroxylithocholate,Lipid,Secondary Bile Acid Metabolism,36807,LC/MS Neg,100001625,4830,391.2854,5283821,668-49-5,C15515,HMDB0000811,168049,99226,145544,,302109,193024,72306,899440,90254,323203,3018879,630264,337099,913280,230853,120411,987689,3173056
6232,6-hydroxyindole sulfate,Xenobiotics,Chemical,48698,LC/MS Neg,100006260,2498,212.0023,122198196,,,HMDB0000682,639967,536231,590600,431709,717372,351207,741092,362150.03,487054.97,691766,716169,711002.06,690475,782787,1099838,681197,858559,1096502
133,6-oxopiperidine-2-carboxylate,Amino Acid,Lysine Metabolism,43231,LC/MS Neg,100004499,965,142.051,3014237,34622-39-4,,HMDB0061705,1605193.13,2975423,1918309,1532359,1799911,1226255,1820865,1968412,1535749.13,1455703,1279711,1335791,1332023,1137320,702752,1770814.88,1417181,1461427
3205,7-HOCA,Lipid,Sterol,36776,LC/MS Neg,100001609,5288.1,429.301,3081085,115538-85-7,C17337,HMDB0012458,,,287383,337569,226560,168195,559562,370299,337927,309698,186392,218440,389288.03,420237,443884,,374333,1379259
3535,7-ketodeoxycholate,Lipid,Secondary Bile Acid Metabolism,31904,LC/MS Neg,100001063,4821,405.2646,188292,911-40-0,,HMDB0000391,1207861,888325.06,1766533,172268,4410785,7885629,2566897,25254348,4065549.25,6186780,42355884,9350183,7488770,18567844,10120473,2747033,22671992,66515596
3522,7-ketolithocholate,Lipid,Secondary Bile Acid Metabolism,43830,LC/MS Neg,100001069,5082,389.2697,444262,4651-67-6,,HMDB0000467,,,107595,,107381.99,240417,,1084752,69537,301190,2845767,555441,589342,938208,100188,,1130608,3946492
4184,7-methylguanine,Nucleotide,"Purine Metabolism, Guanine containing",35114,LC/MS Neg,100001456,1729.7,164.0578,135398679,578-76-7,C02242,HMDB0000897,354449,379395,365081,544145,437905,419329,629842,610925,608143,402944,462269,455462.03,443373,413937,392351,530870,533470,572237
2001,8-hydroxyoctanoate,Lipid,"Fatty Acid, Monohydroxy",21239,LC/MS Neg,100000956,2300,159.1027,69820,764-89-6,,HMDB0061914,,,231897,91368,230170,,233937,188313,122366,168509,166446,223648,177903,156986,122195.01,,269091,425817
2031,"9,10-DiHOME",Lipid,"Fatty Acid, Dihydroxy",38399,LC/MS Neg,179,5180,313.2384,9966640,263399-34-4,C14828,HMDB0004704,507556,365503,669955.06,599080,,792771,456532,1316934,440538,594583,860224,636473,436443,599163,897504,240468,1028507,1406932
1936,acetoacetate,Lipid,Ketone Bodies,33963,LC/MS Pos Early,1218,1062,103.039,96,02/11/3483,C00164,HMDB0000060,913723,221674,3398907,1065222,3929044,1886088,1821609,1686063,1359306,2387290,2433325.25,2373007,2604943.75,2315098,5323069,565878,2202242,4165830
1840,acetylcarnitine (C2),Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Short Chain)",32198,LC/MS Pos Early,100000802,2282,204.123,7045767,5080-50-2,C02571,HMDB0000201,1192604928,961111552,985349504,853800640,1010092480,977412096,988383296,1153183104,1075445120,924745280,932413952,811284160,821498112,823590656,1262278144,1060533376,856656128,1390737920
4140,"adenosine 3',5'-cyclic monophosphate (cAMP)",Nucleotide,"Purine Metabolism, Adenine containing",2831,LC/MS Neg,207,1952.2,328.0452,6076,60-92-4,C00575,HMDB0000058,341793,275523,266028,442985,407377,331171,553198,561128,590942,411264,362506,484129,622024,446508.03,287002,263149,477817.97,672247
4136,ADP,Nucleotide,"Purine Metabolism, Adenine containing",3108,LC/MS Pos Early,208,607,428.0367,6022,20398-34-9,C00008,HMDB0001341,929204,901269,824673.94,516728.03,109238,382581,142635,758969,316793,221453.98,629045,396771,82107,107598,702705,259771,473131,100614
4324,adenosine 5'-diphosphoribose (ADP-ribose),Cofactors and Vitamins,Nicotinate and Nicotinamide Metabolism,558,LC/MS Neg,215,920,558.0644,192,68414-18-6,C00301,HMDB0001178,1321041,1141622,1230033,903229.94,447559,699211,460296,1686908,1017743.94,691293,1014571,944160,424582,245569.02,1587600,796761,662489,607363
4137,AMP,Nucleotide,"Purine Metabolism, Adenine containing",32342,LC/MS Pos Early,209,1013,348.0704,6083,149022-20-8,C00020,HMDB0000045,1372509.88,1137089,2282360,1603767,3038260,2429660,2281276,18753432,11319112,4984545,1392918,5410182,869637.94,547200,1934519,850020,3205552,3476762
1907,adipoylcarnitine (C6-DC),Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Dicarboxylate)",52988,LC/MS Pos Early,100006614,2570,290.1598,71296139,,,HMDB0061677,2079257,2890180,936812,1277944,898835,979424,1675592,1291845,1258543,1422688.13,969612,1253749,1301377,1392716,663638.94,1898444,1139198,1449252
29,alanine,Amino Acid,Alanine and Aspartate Metabolism,1126,LC/MS Pos Early,811,1700,90.055,5950,56-41-7,C00041,HMDB0000161,478587584,437524896,1081880320,886024256,914994432,1017203904,993953344,913950528,990921728,750104704,1010145536,1072700480,869405184,1006363712,612709312,401709120,1044755200,1108930176
4132,allantoic acid,Nucleotide,"Purine Metabolism, (Hypo)Xanthine/Inosine containing",33434,LC/MS Polar,218,2960,175.0473,203,99-16-1,C00499,HMDB0001209,,,,48200,51431,33629,94270.99,56729,72410,62121,89202,72634,69318,60331,,67142,69164,94613
4131,allantoin,Nucleotide,"Purine Metabolism, (Hypo)Xanthine/Inosine containing",1107,LC/MS Polar,1002,1672,157.0367,204;439714;439713,97-59-6,"C02350,C02348,C01551",HMDB0000462,23272848,23329168,17296788,25734740,30022976,24357100,42335008,33370052,42372012,34428472,39752692,34853404,36005128,39538880,21746282,37802600,35692384,49431900
347,alpha-hydroxyisocaproate,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",22132,LC/MS Neg,100000706,1840,131.0714,92779;83697;439960,10303-64-7,C03264,"HMDB0000665,HMDB0000624,HMDB00746",1809290,1314770,1685993,2786586,2917465.25,2271028,2793709,1857253,2916468,2381720,1756917,1458655,2522531,2035305,2217043,1727563,3001960,2923612
424,alpha-hydroxyisovalerate,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",46537,LC/MS Polar,100001300,1052,117.0557,99823,600-37-3,,HMDB0000407,35281540,29684466,38807644,41490404,50314824,42795900,51090800,38782276,54641488,45859312,41047052,36833928,40678752,48875680,30677456,36949136,38410472,46501992
46,alpha-ketoglutaramate*,Amino Acid,Glutamate Metabolism,62101,LC/MS Polar,100002397,1916,144.0302,48,18465-19-5,C00940,HMDB0001552,679762,603438,533919,1072207,695058,585038,1193680,877462.94,946931,748287,499962,701675,618177,686669,421327,788681,824023,1181778
